sample	Homo sapiens
11O_S68	12.6
11R_S67	17.81
11V_S66	83.67
12O_S35	52.83
12R_S34	65.99
12V_S33	87.84
13O_S6	76.99
13R_S7	70.93
13V_S8	95.685
14O_S46	59.355
14R_S47	87.43
14V_S48	88.52
21O_S21	82.65
21R_S40	48.685
21V_S39	99.17
22O_S9	86.84
22R_S10	53.12
22V_S11	99.665
23O_S49	68.335
23R_S50	36.99
23V_S51	99.67
24O_S74	14.04
24R_S73	56.545
24V_S72	98.065
31O_S12	89.055
31R_S13	36.83
31V_S14	98.83
32R_S52	38
32V_S53	98.645
33O_S24	75.88
33R_S22	55.545
33V_S23	98.9
34O_S77	15.135
34R_S76	67.23
34V_S75	97.865
41O_S30	69.965
41R_S29	71.105
41V_S28	57.29
42O_S54	64.705
42R_S55	76.325
42V_S56	33.07
43O_S60	14.975
43R_S79	48.035
43V_S78	47.53
44O_S15	85.005
44R_S16	90.35
44V_S17	45.725
51O_S57	78.22
51R_S58	54.84
51V_S59	96.695
52O_S69	47.265
52R_S70	22.535
52V_S71	25.23
53O_S18	89.01
53R_S19	51.275
53V_S20	97.815
54O_S38	86.76
54R_S37	93.04
54V_S36	96.06
B1_S31	63.42
B2_S32	69.445
B3_S64	79.385
B4_S65	31.125
B5_S44	61.765
B6_S45	43.5
B7_S4	84.56
B8_S5	76.79
M1_S25	35.135
M11_S2	25.785
M12_S3	21.56
M2_S26	31.34
M20_S1	21.405
M3_S27	29.53
M4_S61	14.785
M5_S62	22.49
M6_S63	13.015
M7_S41	8.06
M8_S42	7.57
M9_S43	8.595
